"","DMD_1_H","DMD_2_H","DMD_3_H","DMD_4_H","DMD_5_H","DMD_6_H","DMD_7_H","DMD_8_H","DMD_9_H","DMD_10_H","DMD_11_H","DMD_12_H","NOR_1_H","NOR_2_H","NOR_3_H","NOR_4_H","NOR_5_H","NOR_6_H","NOR_7_H","NOR_8_H","NOR_9_H","NOR_10_H","NOR_11_H","NOR_12_H"
"ENSG00000213071",109,277.9,192.7,110.6,36.2,176.9,44.8,97.6,260.2,242.3,232.1,318.8,184.2,60.3,171.7,87.3,114.8,82.7,116.6,199.3,163.7,177.4,306.8,3.5
"ENSG00000133704",64.8,56.1,55.3,27.8,26.2,51.1,29.1,72.6,168.6,49.2,272.4,65.2,121.9,46.7,38.1,61.5,49.5,88.9,74.9,53.2,20.9,46.8,122.3,5
"ENSG00000108839",1017.5,1117.7,978.7,1350.1,534,766.5,1253.7,598.6,1367.9,1143,970.7,1360.7,1402.1,1466.3,1231.4,954,1257.8,1395.5,1423.6,672.9,1559.7,1521.4,1173.1,38.8
"ENSG00000137154",33613.6,44415.9,40506.9,43875,42719.4,46158.3,38296.5,45016.5,29807.9,31443.3,43117.2,43767.3,32036.5,35921.6,46062.9,35007.9,41027.6,48893.3,39684.1,34422.3,36020.6,38351.9,42814.5,1686
"ENSG00000158195",756.8,555.5,1182,194.1,295.3,264.6,1683.1,759.2,724.8,754.8,200.4,502.8,1193.9,767.8,730,1013.4,1335.8,1078.1,839,954.1,796.9,940,241.1,34.9
"ENSG00000277075",105.1,127.6,139.3,602.5,607.2,490.4,183.6,119.8,222.8,463.6,411.7,214.4,74,165.3,200.5,238.6,61.2,90.2,124.1,93.8,100.4,31.3,77,1.7
"ENSG00000102239",176.8,137.1,37.3,133.5,45.1,41.2,138.6,62.9,481.3,59.2,141.8,80.2,49.6,28.3,118.5,53.3,38.2,130.5,95.6,9.9,77.5,217.6,158.1,2.5
"ENSG00000106304",19.3,42.1,49.5,22.9,77.8,85.8,29.7,35,185.9,131.6,137.9,225.2,22.9,165.2,129.7,42.7,49.1,15.4,132,151.4,25.7,61.2,40.7,5.7
"ENSG00000104687",461.9,97.9,47.4,339.1,208.3,479.4,310.7,387.1,215.9,226.1,183,188.3,52.3,59.7,259.9,177.1,164.5,61.2,97.5,53.6,68.6,185,234.8,23.2
"ENSG00000029559",36.7,129.7,89.7,39.1,22.3,85.2,59.3,37.3,55.1,103.9,41.1,99.6,70.2,28.1,31,80.8,40.1,68.2,122.2,60.7,36.3,93.9,385,16.6
